file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\api\payments\Currency.java,org.whispersystems.signalservice.api.payments.Currency,class,5,15,10,5,6,3,4,0,15,0.0,0.0,0.0,6,2,5,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,2,0,15,1025,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\registration\RegistrationUtil.java,org.thoughtcrime.securesms.registration.RegistrationUtil,class,4,5,1,4,9,1,0,21,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,19,0,0,1,0,1,3,0,1,0,1,2,0,0,0,52,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\components\webrtc\WebRtcCallViewModel.java,org.thoughtcrime.securesms.components.webrtc.WebRtcCallViewModel$Event$SwitchToSpeaker,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\api\groupsv2\GroupsV2Operations.java,org.whispersystems.signalservice.api.groupsv2.GroupsV2Operations$GroupOperations,innerclass,57,57,0,57,140,1,0,159,1399,0.80172414,0.045045044,0.045045044,58,0,34,21,0,3,37,0,0,0,2,0,0,2,0,0,2,0,18,563,66,25,27,14,3,8,14,115,2,110,3,0,0,5,236,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\service\KeyCachingService.java,org.thoughtcrime.securesms.service.KeyCachingService$KeySetBinder,innerclass,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\jobmanager\JobSchedulerScheduler.java,org.thoughtcrime.securesms.jobmanager.JobSchedulerScheduler$SystemService,innerclass,5,5,0,5,2,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,1,1,1,1,1,0,1,0,0,15,9,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\util\adapter\RecyclerViewConcatenateAdapter.java,org.thoughtcrime.securesms.util.adapter.RecyclerViewConcatenateAdapter$ChildAdapter,innerclass,7,7,0,7,8,1,0,8,0,0.56,0.1,0.1,5,0,0,0,0,5,5,0,0,0,5,0,0,4,0,1,5,0,0,40,5,0,3,0,0,0,0,10,0,10,1,0,0,0,33,10,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\wallpaper\crop\WallpaperCropViewModel.java,org.thoughtcrime.securesms.wallpaper.crop.WallpaperCropViewModel,class,20,23,3,20,7,2,0,14,0,0.6,0.5,1.0,5,0,1,0,0,4,5,0,0,0,4,1,0,4,0,0,4,0,1,48,2,0,1,1,0,0,0,6,0,6,2,0,2,1,39,16,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\RemoteAttestationKeys.java,org.whispersystems.signalservice.internal.contacts.crypto.RemoteAttestationKeys,class,3,7,4,3,3,1,0,8,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,2,20,2,0,0,0,0,0,6,8,1,8,0,0,0,0,28,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\groups\ui\creategroup\details\AddGroupDetailsFragment.java,org.thoughtcrime.securesms.groups.ui.creategroup.details.AddGroupDetailsFragment$Anonymous1,anonymous,6,6,0,6,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\groups\ui\invitesandrequests\invite\GroupLinkInviteFriendsViewModel.java,org.thoughtcrime.securesms.groups.ui.invitesandrequests.invite.GroupLinkInviteFriendsViewModel$Anonymous1,anonymous,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\payments\MobileCoinLogAdapter.java,org.thoughtcrime.securesms.payments.MobileCoinLogAdapter,class,4,6,2,4,9,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,16,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\giph\model\GiphyImage.java,org.thoughtcrime.securesms.giph.model.GiphyImage,class,8,17,9,8,39,1,0,15,223,0.884058,0.0,0.0,23,1,14,9,0,0,14,0,0,0,3,1,0,3,0,0,1,0,1,122,24,2,11,0,0,1,7,16,1,18,2,0,3,2,47,1,0
C:\MetricsTest\Signal-Android-main\device-transfer\lib\src\main\java\org\signal\devicetransfer\DeviceTransferServer.java,org.signal.devicetransfer.DeviceTransferServer$WifiDirectListener,innerclass,5,5,0,5,5,1,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,16,0
